race_id,date,course,track_type,distance,weather,track_moisture,field_size,horse_id,horse_name,umaban,waku,sex,age,jockey,weight_carried,horse_weight,horse_weight_diff,odds,popularity,finish_pos,is_synthetic
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0061,ウエストロード,1,1,牡,2,鮫島駿,56.8,498.0,7.0,792.4,18,18,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0073,ハヤオー,2,1,牡,2,岩田望,57.5,505.0,1.0,49.8,15,17,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0072,アーバンホーン,3,1,牡,4,川田,57.4,473.0,-1.0,17.3,8,10,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0066,ハヤインパクト,4,2,牝,4,川田,52.2,474.0,2.0,12.2,4,12,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0037,ダノンオペラ,5,2,牡,3,鮫島駿,54.1,484.0,-4.0,22.8,12,14,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0077,ディープアイランド77,6,2,牡,3,鮫島駿,57.9,458.0,-2.0,21.9,10,9,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0024,ステラキング,7,3,牡,2,武豊,58.6,475.0,10.0,5.4,2,2,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0038,プログノロード38,8,3,牝,2,鮫島駿,55.8,458.0,-1.0,53.7,16,15,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0026,ソールアイランド,9,4,牡,3,戸崎,55.0,453.0,3.0,55.4,17,13,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0010,ジャンタルオペラ,10,4,牡,3,菅原明,56.6,468.0,1.0,22.4,11,7,1
